,vocal,meaning
0, abase,lower; degrade; humiliate; make humble; make (oneself) lose self-respect
519,bolt,door bar; fastening pin or screw; length of fabric; large roll of cloth; V: dash or dart off; fasten (a | door); gobble down
520,bombardment,attack (as with missiles or bombs); V. bombard
521,bombast,"grandiloquent, pompous speech"
522,bombastic,pompous; using inflated language
523,bookish,fond of books and reading
524,boon,blessing; benefit; something very helpful
525,boor,"rude, insensitive person"
526,boorish,rude; insensitive
527,boost,lift by pushing up from below; increase; raise; N: push upward; increase
528,botch,mismanage; blow
529,bouillon,clear beef (or meat) soup
530,bound,leap or spring; limit or confine; constitute the limit of; Ex. bounded by Canada; N: leap or jumping; boundary; ADJ: certain; having a duty to do something (legally or morally); confined by bonds; Ex. We are bound to be late; Ex. I am bound to
531,bountiful,generous; graciously generous; showing bounty
532,bourgeois,middle class; selfishly materialistic; too interested in material possessions
533,bout,match; short period of great activity; Ex. wrestling bout; bout of drinking/flu
534,bovine,cowlike; placid and dull; slow-thinking; calm
535,bowdlerize,expurgate; CF. Thomas Bowdler
536,brackish,somewhat saline
537,brag,boast
538,braggadocio,boasting
539,braggart,boaster; bragger
540,braid,plait; interweave strands or lengths of; make by weaving strands together; N: braided segment (as of hair)
541,brand,trademark; mark burned on the hide of an animal; mark burned into the flesh of criminals; mark of disgrace; V: mark with a brand; give a lasting bad name; stigmatize; Ex. The press branded him a liar.
542,brandish,wave around (a weapon); flourish
543,bravado,swagger; assumed air of defiance; false show of bravery
544,brave,face courageously; Ex. brave the storm
545,brawl,noisy quarrel
546,brawn,human muscle; muscular strength; sturdiness
547,brawny,muscular; having well-developed muscles
548,brazen,insolent; without shame; bold; Ex. brazen lie; V: face with bold self- assurance or with unshamed confidence
549,breach,breaking of contract or duty; fissure or gap; opening; V.
550,breadth,width; extent
551,breed,produce young; rear; bring up; produce (an undesirable condition); N: kind or sort of animal or plant
552,brevity,conciseness; shortness of duration
553,bridle,harness fitted about a horse's head (used to restrain); curb; check; V: put a bridle on; control or restrain; show anger
554,brim,uppermost edge of a cup; projecting rim (as on a hat); Ex. The glass was full to the brim; V: be full to the brim
555,brindled,tawny or grayish with streaks or spots (of animals)
556,brink,edge (at the top of a cliff); Ex. on the brink of the Grand Canyon
557,brisk,quick and active; marked by liveliness and vigor
558,bristle,short stiff hair; V: (hair or fur) stand up stiffly
559,bristling,rising like bristles; showing irritation
560,brittle,hard but easily broken; difficult; unstable; Ex. brittle situation
561,broach,introduce as a subject; moot; open up
562,brocade,"rich, figured(patterned) fabric"
563,brochure,pamphlet
564,broil,cook by direct heat; N.
565,bromide,platitude; chemical compound used to calm excitement
566,brooch,ornamental clasp; pin
567,brood,sit on in order to hatch; think deeply or worry anxiously; N: the young of certain animals; group of young birds hatched at one time
568,brook,tolerate; endure; Ex. brook no interference; N: small stream
569,browbeat,bully; intimidate
570,browse,graze; feed on growing grass; skim or glance at casually
571,bruise,injure without breaking the skin; N.
572,brunt,main impact or shock (of an attack or blow); Ex. brunt of the argument
573,brusque,blunt; abrupt; curt; not wanting to waste time being nice
574,buccaneer,pirate
575,bucolic,rustic; pastoral
576,buffet,strike forcefully; slap; batter; knock out; N: table with food set out for
577,buffoon,stupid person; clown
578,buffoonery,clowning
579,bugaboo,bugbear; object of baseless terror
580,bulge,protruding part; swelling of a surface; Ex. The apple made a bulge in his pocket; V: swell outward; protrude
581,bulk,size or volume (esp. when very large); main part; Ex. The bulk of the work has already been done; ADJ. bulky: having great size
582,bullion,gold and silver in the form of bars
583,bully,one who is habitually cruel to weaker people; V.
584,bulwark,strong wall built for defense; earthwork or other strong defense; person who defends
585,bump,hit or knock against with force; N.
586,bungle,mismanage; blunder; botch; blow; spoil by clumsy behavior
587,buoyant,able to float; cheerful and optimistic; N. buoyancy; Ex. buoyancy of wood/water/American market
588,bureaucracy,overregulated administrative system marked by red tape; ADJ. bureaucratic
589,burgeon,grow rapidly; grow forth; send out buds; Ex. burgeoning computer industry; CF. bludgeon
590,burlesque,give an imitation that ridicules; imitate mockingly
591,burnish,make shiny by rubbing; polish
592,bust,"piece of sculpture showing a person's head, shoulders, and upper chest; V: break up; arrest; Ex. crimebuster"
593,buttress,support; prop up; N. stationary structure to support wall; Ex. flying buttress
594,buxom,full-bosomed; plump; jolly
595,cache,hiding place; V.
596,cacophonous,discordant; inharmonious; N. cacophony: unpleasant mixture of loud sounds
597,cadaver,corpse; dead human body
598,cadaverous,like a corpse; pale
599,cadence,rhythmic rise and fall (of words or sounds); beat; regular beat of sound; rhythm
600,cadet,student at a military school
601,cajole,persuade by praise or false promise; coax; wheedle
602,calamity,disaster; misery
603,calculated,deliberately planned; likely
604,caldron(cauldron),large kettle
605,caliber,ability; quality; diameter of the inside of a round cylinder; Ex. work of very high caliber
606,calligraphy,beautiful writing; excellent penmanship
607,callous,hardened; unfeeling; without sympathy for the sufferings of others; unkind
608,callow,youthful; immature; inexperienced
609,callus,area of thick hard skin
610,calorific,heat-producing; N. calorie
611,calumny,malicious misrepresentation; slander
612,camaraderie,good-fellowship; CF. comrade
613,cameo,shell or jewel carved in relief; star's special appearance in a minor role in a film
614,camp,group sharing a common cause or opinion
615,canard,unfounded false rumor; exaggerated false report
616,candor,frankness; open honesty; ADJ. candid
617,canine,related to dogs; doglike
618,canker,any ulcerous sore; ulcer; any evil; CF. cancer
619,canny,shrewd in money matters; thrifty
620,cant,insincere speech or expression of piety; jargon of thieves; special words used by a particular group of people
621,cantankerous,ill-humored; irritable
622,cantata,story set to music to be sung by a chorus (shorter than an oratorio)
623,canter,slow gallop; V. CF. trot
624,canto,division of a long poem
625,canvass,"determine or seek opinions, votes, etc.; go through (a region) to solicit votes or orders; conduct a survey; N."
626,capacious,spacious
627,capacity,mental or physical ability; role; position or duty; ability to accommodate; Ex. in my capacity as president
628,capillary,having a very fine bore; resembling a hair; fine and slender; Ex. capillary attraction; N: very fine hairlike tube; CF. capillarity
629,capitulate,surrender; give up all resistance
630,caprice,whim; sudden change of mind without any real cause
631,capricious,unpredictable; fickle
632,capsize,(of a boat) turn over
633,caption,title; chapter heading; text under illustration
634,captious,faultfinding; too critical
635,carafe,glass water bottle; decanter
636,carapace,"shell covering the back (of a turtle, tortoise, crab, etc.)"
637,carat(karat),unit of weight for precious stones; measure of the purity of gold
638,carcinogenic,causing cancer; N. carcinogen
639,cardinal,chief; most important; N: priest; cardinal number: number that shows quantity rather thatn order
640,cardiologist,doctor specializing in ailments of the heart
641,careen,lurch; sway from side to side; move with irregular swinging movement; stagger
642,career,rush wildly; go at full speed
643,carefree,free from worries; having no problems
644,caricature,distortion; burlesque
645,carillon,a set of bells (often in a tower) capable of being played
646,carnage,destruction of life; slaughter; killing of large numbers of people or animals
647,carnal,fleshly; sensual; concerning the desires of the body
648,carnivorous,meat-eating; N. carnivore; CF. herbivore
649,carousal,drunken revel; V. carouse
650,carping,petty criticism; fault-finding; fretful complaining; quibble
651,carrion,rotting flesh of a dead body; CF. vulture
652,cartographer,map-maker
653,cascade,small waterfall
654,caste,one of the hereditary classes in Hindu society; social stratification; prestige
655,castigation,punishment; severe criticism or disapproval
656,castrate,remove the sex organs (of a male animal or person)
657,casual,happening by chance; irregular; occasional; informal; showing or feeling little interest; Ex. casual reader/labor/remark
658,casualty,serious or fatal accident; person killed or wounded in an accident or battle
